date,home_team,away_team,home_score,away_score,competition,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot
2024-06-22,Ecuador,Venezuela,1,2,Copa America 2024,0.7356,1.585,9,14.0,4,5.0
2024-06-23,Scotland,Hungary,0,1,UEFA Euro 2024,0.1835,1.001,4,14.0,0,5.0
2024-06-23,Switzerland,Germany,1,1,UEFA Euro 2024,0.2801,1.5417,4,18.0,3,3.0
2024-06-23,Mexico,Jamaica,1,0,Copa America 2024,1.1361,0.5062,20,13.0,9,4.0
2024-06-23,United States,Bolivia,2,0,Copa America 2024,2.4047,0.1497,20,6.0,8,3.0
2024-06-24,Colombia,Paraguay,2,1,Copa America 2024,0.6219,0.8276,11,11.0,3,3.0
2024-06-24,Albania,Spain,0,1,UEFA Euro 2024,0.5032,0.9517,10,16.0,4,3.0
2024-06-24,Croatia,Italy,1,1,UEFA Euro 2024,1.4832,0.9854,6,13.0,4,3.0
2024-06-24,Uruguay,Panama,3,1,Copa America 2024,1.3614,0.5409,20,10.0,7,3.0
2024-06-25,Peru,Canada,0,1,Copa America 2024,0.5764,0.909,9,5.0,4,2.0
2024-06-25,England,Slovenia,0,0,UEFA Euro 2024,0.7562,0.1649,12,4.0,3,1.0
2024-06-25,Denmark,Serbia,0,0,UEFA Euro 2024,0.5515,0.3244,10,5.0,3,1.0
2024-06-25,France,Poland,1,1,UEFA Euro 2024,1.8915,1.1791,19,10.0,8,3.0
2024-06-25,Netherlands,Austria,2,3,UEFA Euro 2024,1.5102,1.0579,11,9.0,2,5.0
2024-06-25,Brazil,Costa Rica,0,0,Copa America 2024,1.6212,0.0367,20,2.0,3,0.0
2024-06-26,Ecuador,Jamaica,3,1,Copa America 2024,2.3658,0.9347,23,7.0,3,4.0
2024-06-26,Slovakia,Romania,1,1,UEFA Euro 2024,0.8447,1.1219,13,9.0,4,5.0
2024-06-26,Chile,Argentina,0,1,Copa America 2024,0.131,2.7841,3,22.0,3,9.0
2024-06-26,Czech Republic,Turkey,1,2,UEFA Euro 2024,1.4103,1.2175,12,18.0,6,5.0
2024-06-26,Georgia,Portugal,2,0,UEFA Euro 2024,1.3455,2.3561,7,22.0,3,5.0
2024-06-26,Ukraine,Belgium,0,0,UEFA Euro 2024,0.7092,0.634,14,12.0,5,4.0
2024-06-27,Venezuela,Mexico,1,0,Copa America 2024,1.1386,2.3843,10,18.0,2,5.0
2024-06-27,Panama,United States,2,1,Copa America 2024,0.7308,0.9143,13,6.0,4,3.0
2024-06-28,Colombia,Costa Rica,3,0,Copa America 2024,2.9023,0.1653,18,5.0,5,0.0
2024-06-28,Uruguay,Bolivia,5,0,Copa America 2024,2.321,0.0508,18,4.0,9,1.0
2024-06-29,Germany,Denmark,2,0,UEFA Euro 2024,2.2266,1.0735,15,10.0,9,2.0
2024-06-29,Paraguay,Brazil,1,4,Copa America 2024,0.6917,3.7477,15,17.0,6,6.0
2024-06-29,Switzerland,Italy,2,0,UEFA Euro 2024,0.7824,0.7257,16,11.0,4,1.0
2024-06-30,Spain,Georgia,4,1,UEFA Euro 2024,2.7647,0.1131,35,4.0,13,0.0
2024-06-30,England,Slovakia,2,1,UEFA Euro 2024,1.5867,1.5478,16,13.0,2,3.0
2024-06-30,Canada,Chile,0,0,Copa America 2024,0.6995,0.454,9,8.0,3,4.0
2024-06-30,Argentina,Peru,2,0,Copa America 2024,2.1058,0.1666,12,7.0,6,1.0
2024-07-01,Jamaica,Venezuela,0,3,Copa America 2024,0.6676,1.7144,8,17.0,1,3.0
2024-07-01,Mexico,Ecuador,0,0,Copa America 2024,0.9376,0.3058,20,9.0,4,3.0
2024-07-01,Portugal,Slovenia,0,0,UEFA Euro 2024,4.0717,3.066,23,13.0,9,5.0
2024-07-01,France,Belgium,1,0,UEFA Euro 2024,1.262,0.3632,19,5.0,2,2.0
2024-07-02,United States,Uruguay,0,1,Copa America 2024,0.471,1.2715,8,12.0,2,5.0
2024-07-02,Romania,Netherlands,0,3,UEFA Euro 2024,0.2677,2.6262,5,24.0,1,6.0
2024-07-02,Austria,Turkey,1,2,UEFA Euro 2024,2.487,0.8825,21,6.0,5,3.0
2024-07-02,Bolivia,Panama,1,3,Copa America 2024,0.7934,1.3406,7,13.0,3,6.0
2024-07-03,Brazil,Colombia,1,1,Copa America 2024,0.3058,1.503,7,13.0,3,6.0
2024-07-03,Costa Rica,Paraguay,2,1,Copa America 2024,0.2721,1.4401,2,17.0,2,6.0
2024-07-05,Spain,Germany,2,1,UEFA Euro 2024,1.5341,1.6291,19,23.0,6,5.0
2024-07-05,Argentina,Ecuador,1,1,Copa America 2024,4.7761,4.5225,13,13.0,6,6.0
2024-07-05,Portugal,France,0,0,UEFA Euro 2024,4.5428,4.9849,19,25.0,7,10.0
2024-07-06,Venezuela,Canada,1,1,Copa America 2024,5.6231,6.0521,21,22.0,8,10.0
2024-07-06,England,Switzerland,1,1,UEFA Euro 2024,4.4545,4.3354,18,16.0,8,7.0
2024-07-06,Colombia,Panama,5,0,Copa America 2024,2.1804,0.61,7,14.0,5,2.0
2024-07-06,Netherlands,Turkey,2,1,UEFA Euro 2024,0.7189,1.1824,11,15.0,4,4.0
2024-07-07,Uruguay,Brazil,0,0,Copa America 2024,4.5473,3.8099,17,11.0,6,6.0
2024-07-09,Spain,France,2,1,UEFA Euro 2024,0.4215,0.8508,6,9.0,2,3.0
2024-07-10,Argentina,Canada,2,0,Copa America 2024,1.7542,0.7176,11,9.0,3,2.0
2024-07-10,Netherlands,England,1,2,UEFA Euro 2024,0.4122,1.2366,7,9.0,3,5.0
2024-07-11,Uruguay,Colombia,0,1,Copa America 2024,0.7546,1.172,11,11.0,2,4.0
2024-07-14,Spain,England,2,1,UEFA Euro 2024,1.7917,0.7264,16,9.0,6,3.0
2024-07-14,Canada,Uruguay,2,2,Copa America 2024,6.2053,4.6504,19,16.0,9,9.0
